measure,pitch,offset,offsetMeasure,quarterLength,fullName,notehead
33,B2,129.5,0.5,0.5,B in octave 2 Eighth Note,normal
33,E3,130.0,1.0,0.5,E in octave 3 Eighth Note,normal
33,B2,130.5,1.5,0.5,B in octave 2 Eighth Note,normal
33,E3,131.0,2.0,0.5,E in octave 3 Eighth Note,normal
33,E3,131.5,2.5,0.5,E in octave 3 Eighth Note,normal
33,F#3,132.0,3.0,0.5,F-sharp in octave 3 Eighth Note,normal
34,G3,132.5,-0.5,0.5+0.5,G in octave 3 Eighth Note,normal
34,D3,133.5,0.5,0.5,D in octave 3 Eighth Note,normal
34,G3,134.0,1.0,0.5,G in octave 3 Eighth Note,normal
34,D3,134.5,1.5,0.5,D in octave 3 Eighth Note,normal
34,G3,135.0,2.0,0.5,G in octave 3 Eighth Note,normal
34,D3,135.5,2.5,0.5,D in octave 3 Eighth Note,normal
34,G2,136.0,3.0,0.5,G in octave 2 Eighth Note,normal
34,G#2,136.5,3.5,0.5,G-sharp in octave 2 Eighth Note,normal
35,A2,137.0,0.0,0.5,A in octave 2 Eighth Note,normal
35,A2,137.5,0.5,1.0,A in octave 2 Quarter Note,normal
35,E3,138.5,1.5,0.5,E in octave 3 Eighth Note,normal
35,A3,139.0,2.0,0.5,A in octave 3 Eighth Note,normal
35,A3,139.5,2.5,0.5,A in octave 3 Eighth Note,normal
35,E3,140.0,3.0,0.5,E in octave 3 Eighth Note,normal
35,A2,140.5,3.5,0.5,A in octave 2 Eighth Note,normal
36,A2,141.0,0.0,0.5,A in octave 2 Eighth Note,normal
36,A2,141.5,0.5,0.5,A in octave 2 Eighth Note,normal
36,A2,142.0,1.0,0.5,A in octave 2 Eighth Note,normal
36,E3,142.5,1.5,0.5,E in octave 3 Eighth Note,normal
36,E3,143.0,2.0,0.5,E in octave 3 Eighth Note,normal
36,A3,143.5,2.5,0.5,A in octave 3 Eighth Note,normal
36,A3,144.0,3.0,0.5,A in octave 3 Eighth Note,normal
36,E3,144.5,3.5,0.5,E in octave 3 Eighth Note,normal
37,A2,145.0,0.0,0.5,A in octave 2 Eighth Note,normal
37,A2,145.5,0.5,0.5,A in octave 2 Eighth Note,normal
37,A2,146.0,1.0,0.5,A in octave 2 Eighth Note,normal
37,E3,146.5,1.5,0.5,E in octave 3 Eighth Note,normal
37,E3,147.0,2.0,0.5,E in octave 3 Eighth Note,normal
37,A3,147.5,2.5,0.5,A in octave 3 Eighth Note,normal
37,A3,148.0,3.0,0.5,A in octave 3 Eighth Note,normal
37,E3,148.5,3.5,0.5,E in octave 3 Eighth Note,normal
38,G2,149.0,0.0,0.5,G in octave 2 Eighth Note,normal
38,G2,149.5,0.5,0.5,G in octave 2 Eighth Note,normal
38,G2,150.0,1.0,0.5,G in octave 2 Eighth Note,normal
38,G2,150.5,1.5,0.5,G in octave 2 Eighth Note,normal
38,G2,151.0,2.0,0.5,G in octave 2 Eighth Note,normal
38,G2,151.5,2.5,0.5,G in octave 2 Eighth Note,normal
38,G2,152.0,3.0,0.5,G in octave 2 Eighth Note,normal
38,F2,152.5,3.5,0.5,F-natural in octave 2 Eighth Note,normal
39,F#2,153.0,0.0,1.0,F-sharp in octave 2 Quarter Note,normal
39,C#3,154.0,1.0,0.5,C-sharp in octave 3 Eighth Note,normal
39,F#3,154.5,1.5,0.5+0.5,F-sharp in octave 3 Eighth Note,normal
39,C#3,155.5,2.5,0.5,C-sharp in octave 3 Eighth Note,normal
39,F#2,156.0,3.0,1.0,F-sharp in octave 2 Quarter Note,normal
40,B2,157.0,0.0,1.0,B in octave 2 Quarter Note,normal
40,F#3,158.0,1.0,0.5,F-sharp in octave 3 Eighth Note,normal
40,B3,158.5,1.5,0.5+0.5,B in octave 3 Eighth Note,normal
40,F#3,159.5,2.5,0.5,F-sharp in octave 3 Eighth Note,normal
40,B2,160.0,3.0,0.5,B in octave 2 Eighth Note,normal
40,A2,160.5,3.5,0.5,A in octave 2 Eighth Note,normal
41,G2,161.0,0.0,1.0,G in octave 2 Quarter Note,normal
41,D3,162.0,1.0,0.5,D in octave 3 Eighth Note,normal
41,G3,162.5,1.5,0.5+0.5,G in octave 3 Eighth Note,normal
41,D3,163.5,2.5,0.5,D in octave 3 Eighth Note,normal
41,E3,164.0,3.0,0.5,E in octave 3 Eighth Note,normal
41,D3,164.5,3.5,0.5,D in octave 3 Eighth Note,normal
42,G2,165.0,0.0,1.5,G in octave 2 Dotted Quarter Note,normal
42,D3,166.5,1.5,0.5,D in octave 3 Eighth Note,normal
42,G3,167.0,2.0,0.5,G in octave 3 Eighth Note,normal
42,E2,167.5,2.5,0.5,E in octave 2 Eighth Note,normal
42,G2,168.0,3.0,0.5,G in octave 2 Eighth Note,normal
42,G#2,168.5,3.5,0.5,G-sharp in octave 2 Eighth Note,normal
43,A2,169.0,0.0,1.0,A in octave 2 Quarter Note,normal
43,A3,170.0,1.0,0.5,A in octave 3 Eighth Note,normal
