Note,seconds,offset,duration,measure,Tie,Ghost,NoteValue
E,99.85294117647054,1.75,<music21.duration.Duration 0.25>,43,<music21.tie.Tie start>,False,0.25
A,100.14705882352935,2.25,<music21.duration.Duration 0.5>,43,,False,0.5
E,100.44117647058818,2.75,<music21.duration.Duration 0.25>,43,,False,0.25
A,100.58823529411758,3.0,<music21.duration.Duration 0.5>,43,,False,0.5
E,100.8823529411764,3.5,<music21.duration.Duration 0.5>,43,,False,0.5
A,101.17647058823523,0.0,<music21.duration.Duration 0.5>,44,,False,0.5
A,101.47058823529406,0.5,<music21.duration.Duration 0.5>,44,<music21.tie.Tie start>,False,0.5
E,102.20588235294112,1.75,<music21.duration.Duration 0.25>,44,<music21.tie.Tie start>,False,0.25
A,102.49999999999993,2.25,<music21.duration.Duration 0.5>,44,,False,0.5
E,102.79411764705875,2.75,<music21.duration.Duration 0.25>,44,,False,0.25
A,102.94117647058816,3.0,<music21.duration.Duration 0.25>,44,,False,0.25
E,103.08823529411757,3.25,<music21.duration.Duration 0.25>,44,,False,0.25
B,103.23529411764697,3.5,<music21.duration.Duration 0.25>,44,,False,0.25
E,103.38235294117638,3.75,<music21.duration.Duration 0.25>,44,,False,0.25
A,103.52941176470578,0.0,<music21.duration.Duration 0.5>,45,,False,0.5
A,103.82352941176461,0.5,<music21.duration.Duration 0.5>,45,<music21.tie.Tie start>,False,0.5
E,104.55882352941167,1.75,<music21.duration.Duration 0.25>,45,<music21.tie.Tie start>,False,0.25
A,104.85294117647048,2.25,<music21.duration.Duration 0.5>,45,,False,0.5
E,105.1470588235293,2.75,<music21.duration.Duration 0.25>,45,,False,0.25
A,105.29411764705871,3.0,<music21.duration.Duration 0.5>,45,,False,0.5
E,105.58823529411754,3.5,<music21.duration.Duration 0.5>,45,,False,0.5
A,105.88235294117636,0.0,<music21.duration.Duration 0.5>,46,,False,0.5
A,106.17647058823519,0.5,<music21.duration.Duration 0.5>,46,<music21.tie.Tie start>,False,0.5
E,106.91176470588225,1.75,<music21.duration.Duration 0.25>,46,<music21.tie.Tie start>,False,0.25
A,107.20588235294106,2.25,<music21.duration.Duration 0.5>,46,,False,0.5
E,107.49999999999989,2.75,<music21.duration.Duration 0.25>,46,,False,0.25
A,107.64705882352929,3.0,<music21.duration.Duration 0.25>,46,,False,0.25
E,107.7941176470587,3.25,<music21.duration.Duration 0.25>,46,,False,0.25
A,107.9411764705881,3.5,<music21.duration.Duration 0.5>,46,,False,0.5
B,108.23529411764693,0.0,<music21.duration.Duration 0.5>,47,,False,0.5
B,108.52941176470576,0.5,<music21.duration.Duration 1.0>,47,,False,1.0
D#,109.11764705882341,1.5,<music21.duration.Duration 0.5>,47,<music21.tie.Tie start>,False,0.5
E,109.55882352941164,2.25,<music21.duration.Duration 0.5>,47,,False,0.5
E#,109.85294117647047,2.75,<music21.duration.Duration 0.25>,47,,False,0.25
F#,109.99999999999987,3.0,<music21.duration.Duration 0.5>,47,,False,0.5
A,110.2941176470587,3.5,<music21.duration.Duration 0.5>,47,,False,0.5
B,110.58823529411752,0.0,<music21.duration.Duration 0.75>,48,,False,0.75
B,111.02941176470576,0.75,<music21.duration.Duration 0.25>,48,,False,0.25
D#,111.17647058823516,1.0,<music21.duration.Duration 0.25>,48,,False,0.25
D#,111.32352941176457,1.25,<music21.duration.Duration 0.5>,48,,False,0.5
E,111.6176470588234,1.75,<music21.duration.Duration 0.25>,48,<music21.tie.Tie start>,False,0.25
